date,rainfall_mm,temperature_c,malaria_cases,rain_norm,temp_norm
1/4/2015,109.9342831,27.07596222,70.22687907,0.528190992,0.814282483
1/11/2015,104.4669148,27.82300513,81.66696284,0.501298629,0.922496708
1/18/2015,127.3127106,27.01813917,63.05396402,0.613670321,0.805906423
1/25/2015,151.7368904,28.35803909,60.86059576,0.733805614,1
2/1/2015,123.2003228,28.06096092,95.56634593,0.593442705,0.956966215
2/8/2015,129.4011457,26.54793628,93.37240423,0.623942713,0.73779435
2/15/2015,171.3716158,27.26718599,82.67884107,0.830383003,0.841982541
2/22/2015,160.2593395,26.88058133,116.6138237,0.775725013,0.785980239
3/1/2015,139.9895442,27.20775672,98.96056984,0.676023904,0.833373809
3/8/2015,163.9785624,25.37694101,95.68014888,0.794018767,0.568167756
3/15/2015,146.8326207,26.31995008,111.3876264,0.709682967,0.704769006
3/22/2015,148.941914,26.35569291,132.0421342,0.720057955,0.709946596
3/29/2015,164.4017779,24.14979472,110.9201937,0.796100438,0.390407307
4/5/2015,121.7343951,24.31319344,111.6406874,0.586232242,0.414076718
4/12/2015,125.0641758,23.4725109,135.8229695,0.602610445,0.29229816
4/19/2015,147.0107585,24.47134628,134.1556037,0.710559174,0.436986228
4/26/2015,135.8443522,24.92712725,121.9937265,0.655634934,0.503009187
5/3/2015,159.4123082,25.24980123,131.3871374,0.771558717,0.549750699
5/10/2015,131.2185504,24.03501402,121.0995724,0.632881988,0.373780546
5/17/2015,116.6645709,24.92300294,125.3651484,0.561295281,0.502411753
5/24/2015,169.1003349,22.63447242,130.6410667,0.819211246,0.170902611
5/31/2015,129.5683588,22.24615435,110.0406371,0.624765185,0.114652109
6/7/2015,129.2339544,23.26038715,110.0385055,0.623120349,0.261570598
6/14/2015,92.7813295,23.4536653,123.2064551,0.443820703,0.289568246
6/21/2015,103.4712854,23.07395153,117.5066113,0.496401424,0.234564135
6/28/2015,109.4506526,21.58939913,126.6473849,0.525812157,0.019516669
7/5/2015,76.98012845,22.942626,118.7311303,0.366099283,0.215540743
7/12/2015,100.2817596,22.08937424,101.9987425,0.480713093,0.091941449
7/19/2015,73.62828634,23.49789455,136.4602009,0.349612566,0.295975153
7/26/2015,72.88983178,23.34110323,111.7410153,0.345980327,0.273262868
8/2/2015,60.08247743,22.50986182,112.5403726,0.282984751,0.152851922
8/9/2015,102.9616789,22.91808198,89.6687977,0.493894821,0.211985375
8/16/2015,59.94269601,22.67146421,97.08277122,0.282297208,0.176261123
8/23/2015,33.93513653,23.52730647,101.6703916,0.154373739,0.300235668
8/30/2015,67.07186629,24.418885,77.18807707,0.317363481,0.429386856
9/6/2015,22.45576546,23.25760434,93.16905573,0.097910119,0.261167488
9/13/2015,48.07629734,24.5131185,76.17697181,0.223929914,0.443037217
9/20/2015,2.550088477,24.0140239,78.73389907,0,0.370739984
9/27/2015,13.87374658,24.06407665,70.04948646,0.055697714,0.377990464
10/4/2015,43.93722472,24.78360434,98.77700733,0.203571043,0.482218923
10/11/2015,55.20679915,24.37535695,72.96561761,0.259002736,0.423081523
10/18/2015,45.17085658,24.95251442,52.36108192,0.209638913,0.506686691
10/25/2015,41.58605979,24.7366378,76.24311977,0.192006361,0.475415501
11/1/2015,40.85056455,27.1771563,50.47345928,0.188388678,0.828941131
11/8/2015,21.05052824,26.04153681,60.8457784,0.090998174,0.664438958
11/15/2015,40.69247094,25.72722009,38.53005309,0.187611062,0.618908053
11/22/2015,50.99986509,26.54924249,43.32424795,0.238310076,0.737983564
11/29/2015,87.05855972,26.4828483,63.36233483,0.415672096,0.728365917
12/6/2015,78.98897547,26.54605074,69.12407949,0.375980205,0.737521217
12/13/2015,43.46290367,27.2450972,62.10251395,0.201237999,0.838782831
